Title,Description,Thumbnail
The Hunger Games,No description available.,http://books.google.com/books/content?id=Mi84vwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
To Kill a Mockingbird,No description available.,
Harry Potter and the Prisoner of Azkaban,"Natürlich weiß Harry, dass das Zaubern in den Ferien strengstens verboten ist, und trotzdem befördert er seine schreckliche Tante mit einem Schwebezauber an die Decke. Die Konsequenz ist normalerweise: Schulverweis! Nicht so bei Harry; im Gegenteil, man behandelt ihn wie in rohes Ei. Hat es etwa damit zu tun, dass ein gefürchteter Verbrecher in die Schule eingedrungen ist und es auf Harry abgesehen hat? Mit seinen Freunden Ron und Hermine versucht Harry ein Geflecht aus Verrat, Rache, Feigheit und Verleumdung aufzudröseln und stößt dabei auf Dinge, die ihn fast an seinem Verstand zweifeln lassen.",http://books.google.com/books/content?id=IHqGBByU0sgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Harry Potter and the Order of the Phoenix,"Du hast die App auf deinem Handy. Sie macht dein Zuhause sicherer. Doch nicht nur die App weiß, wo du wohnst ... Der neue Psycho-Thriller von Nr. 1-Bestseller-Autor Arno Strobel Es klingt fast zu gut, um wahr zu sein. Hamburg-Winterhude, ein Haus mit Smart Home, alles ganz einfach per App steuerbar, jederzeit, von überall. Und dazu absolut sicher. Hendrik und Linda sind begeistert, als sie einziehen. So haben sie sich ihr gemeinsames Zuhause immer vorgestellt. Aber dann verschwindet Linda eines Nachts. Es gibt keine Nachricht, keinen Hinweis, nicht die geringste Spur. Die Polizei ist ratlos, Hendrik kurz vor dem Durchdrehen. Konnte sich in jener Nacht jemand Zutritt zum Haus verschaffen? Und wenn ja, warum hat die App nicht sofort den Alarm ausgelöst? Hendrik fühlt sich mehr und mehr beobachtet. Zu recht, denn nicht nur die App weiß, wo er wohnt ... »Bei Arno Strobels Thrillern brauchen Sie kein Lesezeichen, man kann sie sowieso nicht aus der Hand legen. Packend und nervenzerreißend!« Sebastian Fitzek",http://books.google.com/books/content?id=PUDeDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Pride and Prejudice,"Jane Austens erfolgreichster Roman Jane Austens bekanntester Roman - und eine der schönsten Liebesgeschichten der Weltliteratur. Mit Ironie und scharfer Beobachtungsgabe behandelt Jane Austen in ›Stolz und Vorurteil‹ ein heikles Sozialthema der damaligen Zeit: die von den Eltern arrangierte Ehe. Im Zentrum des Geschehens steht Elizabeth, die zweitälteste von fünf unverheirateten Töchtern der Familie Bennet. Ihre Mutter ist stets darauf bedacht, geeignete Heiratskandidaten für ihre Töchter heranzuziehen und beschäftigt sich mit fast nichts anderem. Um Aristokratenstolz und bürgerliche Vorurteile dreht sich ein wildes Heiratskarussell, das nach allerlei spannenden Verwicklungen letztendlich beim Happy End zum Stehen kommt.",http://books.google.com/books/content?id=maDiwgDBaY4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Twilight,No description available.,http://books.google.com/books/content?id=BMk0nQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Great Gatsby,"F. Scott Fitzgeralds Der große Gatsby wurde erstmals 1925 veröffentlicht und gilt heute als einer der wichtigsten amerikanischen Romane des 20. Jahrhunderts. So virtuos wie unterhaltsam wird darin die vornehme New Yorker Gesellschaft des ""Jazz-Age"" porträtiert: die rauschenden Feste in den Wilden Zwanzigern, aber auch die innere Leere derjenigen, die scheinbar alles erreicht haben. Fitzgerald erzählt die Geschichte des Farmersjungen James Gatz, der seinen Traum vom Erfolg vor allem als brillanter Selbstdarsteller verwirklicht. Er arbeitet sich mit nicht immer legalen Mitteln zum Millionär hoch und gibt, fortan unter dem Namen Jay Gatsby, in seiner Traumvilla auf Long Island sagenumwobene Partys. Damit will er vor allem seine große Liebe Daisy anlocken, die aus besseren Verhältnissen stammt und inzwischen längst standesgemäß verheiratet ist. Am Ende geht Gatsbys Plan auf – und ist doch zum Scheitern verurteilt: Denn wie alle Menschen um ihn herum ist Daisy in ihrem Reichtum zu einer oberflächlichen, zynischen Person geworden. Fitzgerald beschreibt die starke Anziehungskraft des ""American Dream"" und liefert zugleich einen desillusionierenden Abgesang darauf – künstlerisch anspruchsvoll und spannend zugleich.",http://books.google.com/books/content?id=bIGxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Help,"Предлагаем вниманию читателей первый роман американской писательницы Кэтрин Стокетт, вышедший в свет в 2009 году и сразу ставший бестселлером. В книге приводится полный неадаптированный текст романа с комментариями и словарем.",http://books.google.com/books/content?id=roV4DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Divergent,"Der SPIEGEL-Bestseller: Ein aufwühlender, fesselnder Roman über die Welt von morgen. Altruan – die Selbstlosen. Candor – die Freimütigen. Ken – die Wissenden. Amite – die Friedfertigen. Und schließlich Ferox – die Furchtlosen ... Fünf Fraktionen, fünf völlig verschiedene Lebensformen sind es, zwischen denen Beatrice, wie alle Sechzehnjährigen ihrer Welt, wählen muss. Ihre Entscheidung wird ihr gesamtes zünftiges Leben bestimmen, denn die Fraktion, der sie sich anschließt, gilt fortan als ihre Familie. Doch der Eignungstest, der über Beatrices innere Bestimmung Auskunft geben soll, zeigt kein eindeutiges Ergebnis. Sie ist eine Unbestimmte, sie trägt mehrere widerstreitende Begabungen in sich. Damit gilt sie als Gefahr für die Gemeinschaft. Beatrice entscheidet sich, ihre bisherige Fraktion, die Altruan, zu verlassen, und schließt sich den wagemutigen Ferox an. Dort aber gerät sie ins Zentrum eines Konflikts, der nicht nur ihr Leben, sondern auch das all derer, die sie liebt, bedroht... Die grandiose Trilogie ""Die Bestimmung"" von Veronica Roth ist eine unendlich spannende Zukunftsvision voller überraschender Wendungen, heftiger Emotionen und kraftvoller Einblicke in die menschliche Natur – fesselnd bis zur letzten Seite! Alle Bücher der Die-Bestimmung-Reihe: Band 1 – Die Bestimmung Band 2 – Tödliche Wahrheit Band 3 – Letzte Entscheidung Fours Geschichte (""Die Bestimmung"" aus Fours Pespektive)",http://books.google.com/books/content?id=bTXIcyUcW-MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Lightning Thief,"Action, Abenteuer und jede Menge Humor – alle Bände der »Percy Jackson«-Serie in einer E-Box! Percy versteht die Welt nicht mehr. Jedes Jahr fliegt er von einer anderen Schule. Ständig passieren ihm seltsame Unfälle. Und jetzt soll er auch noch an dem Tornado schuld sein! Langsam wird ihm klar: Irgendjemand hat es auf ihn abgesehen. Als Percy sich mit Hilfe seines Freundes Grover vor einem Minotaurus ins Camp Half-Blood rettet, erfährt er die Wahrheit: Sein Vater ist der Meeresgott Poseidon, Percy also ein Halbgott. Und er hat einen mächtigen Feind: Kronos, den Titanen. Die Götter stehen Kopf - und Percy und seine Freunde vor einem unglaublichen Abenteuer ... Alle Bände der Percy-Jackson-Serie: Percy Jackson – Diebe im Olymp (Band 1) Percy Jackson – Im Bann des Zyklopen (Band 2) Percy Jackson – Der Fluch des Titanen (Band 3) Percy Jackson – Die Schlacht um das Labyrinth (Band 4) Percy Jackson – Die letzte Göttin (Band 5) Percy Jackson – Auf Monsterjagd mit den Geschwistern Kane (Sonderband, nicht Teil der E-Box) Percy Jackson erzählt: Griechische Göttersagen Percy Jackson erzählt: Griechische Heldensagen Und dann geht es weiter mit den »Helden des Olymp«!",http://books.google.com/books/content?id=eJJNDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
