,Unnamed: 0,Good_Reads_Popularity_Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format,Rank_Score,Rating_Score,NumRatings_Score,Quality_Score
0,0,1.0,The Hunger Games,Suzanne Collins,4.34,9318770.0,9780439023481,0439023483,"Young Adult, Fiction, Fantasy, Science Fiction, Audiobook, Teen, Post Apocalyptic","The Hunger Games, #1",374,Hardcover,1.0,0.835,1.0,0.9175
3,3,4.0,To Kill a Mockingbird,Harper Lee,4.26,6564282.0,9780060935467,0060935464,"Fiction, Historical Fiction, School, Literature, Young Adult, Historical, Read For School",,323,Paperback,0.9941291585127201,0.815,0.7043823614290977,0.8321278799854545
41,41,57.0,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.58,4563162.0,9780439655484,043965548X,"Fantasy, Fiction, Young Adult, Magic, Childrens, Audiobook, Middle Grade","Harry Potter, #3",435,Mass Market Paperback,0.8904109589041096,0.895,0.48961781393533343,0.7925071932098607
1,1,2.0,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.5,3616863.0,Not found,0439686520,"Fantasy, Young Adult, Fiction, Magic, Audiobook, Childrens, Adventure","Harry Potter, #5",912,Paperback,0.9980430528375734,0.875,0.38805894863550056,0.7840255003682685
2,2,3.0,Pride and Prejudice,Jane Austen,4.29,4517843.0,9781441341709,1441341706,"Fiction, Historical Fiction, Historical, Literature, Audiobook, Novels, Historical Romance",,279,Paperback,0.9960861056751468,0.8225,0.48475408036219947,0.7814600465093366
4,4,6.0,Twilight,Stephenie Meyer,3.66,7001576.0,9780316015844,0316015849,"Fantasy, Young Adult, Romance, Fiction, Vampires, Paranormal, Paranormal Romance","The Twilight Saga, #1",498,Paperback,0.990215264187867,0.665,0.751313703893187,0.7678822420202636
13,13,19.0,The Great Gatsby,F. Scott Fitzgerald,3.93,5602558.0,9780743273565,0743273567,"Fiction, School, Historical Fiction, Romance, Literature, Novels, Read For School",,180,Paperback,0.9647749510763209,0.7325,0.6011680516056525,0.7577357506704934
22,22,32.0,The Help,Kathryn Stockett,4.46,2919452.0,9780399155345,B009CUIY52,"Fiction, Historical Fiction, Historical, Adult Fiction, Contemporary, Audiobook, Book Club",,464,Hardcover,0.9393346379647749,0.865,0.3132112844113792,0.7456364805940385
14,14,23.0,Divergent,Veronica Roth,4.14,4216029.0,9780062024039,0062024035,"Young Adult, Dystopia, Fantasy, Fiction, Science Fiction, Romance, Teen","Divergent, #1",487,Paperback,0.9569471624266145,0.7849999999999999,0.4523627459408339,0.744827477091862
10,10,15.0,The Lightning Thief,Rick Riordan,4.31,3264460.0,9780786838653,0786838655,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology","Percy Jackson and the Olympians, #1",377,Paperback,0.9726027397260274,0.8274999999999999,0.35023829278755286,0.744460258128395
38,38,54.0,The Kite Runner,Khaled Hosseini,4.35,3336334.0,9781594631931,159463193X,"Fiction, Historical Fiction, Contemporary, Novels, Historical, School, Literature",,371,Paperback,0.8962818003913895,0.8374999999999999,0.3579519666734602,0.7323084417662125
34,34,48.0,A Game of Thrones,George R.R. Martin,4.45,2631401.0,9780553588484,0553588486,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Science Fiction Fantasy, Adventure","A Song of Ice and Fire, #1",835,Mass Market Paperback,0.9080234833659491,0.8625,0.28229702506155196,0.7288301271068753
11,11,17.0,The Little Prince,Antoine de Saint-Exupéry,4.33,2302532.0,9780152023980,0152023984,"Classics, Fiction, Fantasy, Childrens, France, Philosophy, Young Adult",,96,Hardcover,0.9686888454011742,0.8325,0.2470020892407482,0.7201727336604806
29,29,41.0,A Thousand Splendid Suns,Khaled Hosseini,4.45,1641637.0,9781594489501,B002FVPH5A,"Fiction, Historical Fiction, Historical, Classics, Novels, War, Literary Fiction",,372,Hardcover,0.9217221135029354,0.8625,0.1760734014979385,0.7056988787502185
6,6,8.0,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,139673.0,9780345538376,0345538374,"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy",,1728,Mass Market Paperback,0.9863013698630136,0.9025000000000001,0.01487936075479255,0.7015451826544515
54,54,72.0,The Girl With the Dragon Tattoo,Stieg Larsson,4.17,3332725.0,9780670069019,0670069019,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary",Millennium #1,480,Hardcover,0.8610567514677103,0.7925,0.35756464094991286,0.7009053481044057
8,8,12.0,The Giving Tree,Shel Silverstein,4.38,1190454.0,9780060256654,0060256656,"Childrens, Classics, Fiction, Picture Books, Poetry, Young Adult, Fantasy",,64,Hardcover,0.9784735812133072,0.845,0.12765146136847147,0.6990312606454447
115,115,153.0,Catching Fire,Suzanne Collins,4.34,3856108.0,9780439023498,0439023491,"Young Adult, Fiction, Fantasy, Science Fiction, Romance, Audiobook, Teen","The Hunger Games, #2",391,Hardcover,0.7025440313111546,0.835,0.4137352419937927,0.6965698183262368
12,12,18.0,Jane Eyre,Charlotte Brontë,4.15,2219334.0,9780142437209,0142437204,"Fiction, Gothic, Historical Fiction, Literature, Historical, School, Audiobook",,532,Paperback,0.9667318982387476,0.7875000000000001,0.23807309906405405,0.6949512493257004
17,17,26.0,The Alchemist,Paulo Coelho,3.92,3337364.0,9780061122415,B00A2KBUGQ,"Fiction, Fantasy, Philosophy, Self Help, Novels, Spirituality, Audiobook",,197,Paperback,0.9510763209393347,0.73,0.3580625085119899,0.6922847073628311
9,9,14.0,Gone with the Wind,Margaret Mitchell,4.31,1247885.0,9780446365383,0446365386,"Classics, Historical Fiction, Fiction, Romance, Historical, Literature, War",,1037,Mass Market Paperback,0.9745596868884541,0.8274999999999999,0.1338150811049762,0.6908436919983576
15,15,24.0,Memoirs of a Geisha,Arthur Golden,4.16,2062520.0,9781400096893,1400096898,"Fiction, Historical Fiction, Romance, Historical, Novels, Asia, Adult Fiction",,503,Mass Market Paperback,0.9549902152641878,0.79,0.22124347977551204,0.689058423759925
24,24,34.0,Charlotte’s Web,E.B. White,4.2,1956918.0,9780064410939,0064410935,"Fiction, Childrens, Classics, Fantasy, Young Adult, Middle Grade, Animals",,184,Paperback,0.9354207436399218,0.8,0.20991004362753665,0.6863326968168646
25,25,35.0,Ender’s Game,Orson Scott Card,4.31,1431622.0,9780812550702,0812550706,"Science Fiction, Fiction, Young Adult, Fantasy, Classics, Science Fiction Fantasy, Dystopia","Ender's Saga, #1",324,Mass Market Paperback,0.9334637964774951,0.8274999999999999,0.15353413526607687,0.685499482935893
39,39,55.0,The Giver,Lois Lowry,4.12,2674765.0,9780385732550,0385732554,"Young Adult, Fiction, Classics, Dystopia, Science Fiction, Fantasy, School","The Giver, #1",208,Paperback,0.8943248532289628,0.78,0.28695094378582614,0.6853189492536972
28,28,39.0,The Catcher in the Rye,J.D. Salinger,3.8,3734101.0,9780316769174,0316769177,"Classics, Fiction, Young Adult, Literature, School, Coming Of Age, Novels",,277,Paperback,0.9256360078277887,0.7,0.4006411855923417,0.6815692983550325
18,18,27.0,Anne of Green Gables,L.M. Montgomery,4.32,1054161.0,9780451528827,0451528824,"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Middle Grade, Audiobook","Anne of Green Gables, #1",320,Mass Market Paperback,0.949119373776908,0.8300000000000001,0.11302420039883065,0.6805358935439347
146,146,196.0,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.4,3642100.0,9781501139239,1501139231,"Fiction, Historical Fiction, LGBT, Contemporary, Audiobook, Queer, Historical",,389,Hardcover,0.6183953033268101,0.8500000000000001,0.39076743832382516,0.6772906854126589
40,40,56.0,The Handmaid’s Tale,Margaret Atwood,4.15,2236448.0,9780385490818,038549081X,"Fiction, Classics, Dystopia, Science Fiction, Feminism, Fantasy, Audiobook","The Handmaid's Tale, #1",311,Paperback,0.8923679060665362,0.7875000000000001,0.23990981073842055,0.6768194292012393
21,21,31.0,City of Bones,Cassandra Clare,4.07,2098845.0,9781416914280,1416914285,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Fiction, Vampires","The Mortal Instruments, #1",485,Hardcover,0.9412915851272016,0.7675000000000001,0.22514195772171766,0.6753583857122298
7,7,9.0,The Chronicles of Narnia,C.S. Lewis,4.28,685690.0,9780066238500,0066238501,"Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Middle Grade","The Chronicles of Narnia, #1-7",767,Paperback,0.9843444227005871,0.8200000000000001,0.07347909186981949,0.6744558786426017
46,46,62.0,Dune,Frank Herbert,4.28,1527514.0,9780593099322,059309932X,"Science Fiction, Fantasy, Audiobook, Science Fiction Fantasy, Classics, Novels, Adventure","Dune, #1",658,Hardcover,0.8806262230919766,0.8200000000000001,0.16382547311101972,0.6711129240507492
26,26,37.0,Of Mice and Men,John Steinbeck,3.89,2700572.0,9780142000670,0142000671,"Fiction, School, Historical Fiction, Literature, Read For School, Novels, High School",,107,Paperback,0.9295499021526419,0.7225,0.2897206071129488,0.6660676273163977
90,90,121.0,The Last Olympian,Rick Riordan,4.55,1090250.0,9781423101475,1423101472,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology","Percy Jackson and the Olympians, #5",381,Hardcover,0.7651663405088063,0.8875,0.11689735031213044,0.6642659227052341
31,31,45.0,The Princess Bride,William Goldman,4.27,925418.0,9780345418265,0345418263,"Fantasy, Fiction, Romance, Humor, Adventure, Young Adult, Classics",,429,Paperback,0.913894324853229,0.8174999999999999,0.09920722183782997,0.6620253866727647
85,85,115.0,The Name of the Wind,Patrick Rothfuss,4.52,1030105.0,9780756404079,075640407X,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Magic, Science Fiction Fantasy","The Kingkiller Chronicle, #1",662,Hardcover,0.776908023483366,0.8799999999999999,0.11044245819720858,0.6618376204201436
16,16,25.0,Les Misérables,Victor Hugo,4.21,824467.0,9780451525260,0451525264,"Fiction, Historical Fiction, Literature, France, Historical, Novels, French Literature",,1463,Mass Market Paperback,0.9530332681017613,0.8025,0.08837294111801157,0.6616015523049432
30,30,44.0,The Outsiders,S.E. Hinton,4.14,1487514.0,9780670532575,0670532576,"Classics, Young Adult, Fiction, School, Read For School, Coming Of Age, Realistic Fiction",,208,Mass Market Paperback,0.9158512720156555,0.7849999999999999,0.15953258617782703,0.6613459645483707
52,52,69.0,Matilda,Roald Dahl,4.33,1038199.0,9780435123987,043512398X,"Fiction, Childrens, Classics, Fantasy, Middle Grade, Young Adult, Humor",,240,Hardcover,0.8669275929549902,0.8325,0.11131112386814011,0.6608096792057826
27,27,38.0,Brave New World,Aldous Huxley,3.99,1971576.0,9780060929879,0060929871,"Fiction, Science Fiction, Dystopia, Literature, Novels, School, Audiobook",,268,Paperback,0.9275929549902153,0.7475,0.21148317204420514,0.6585190317586052
44,44,60.0,Green Eggs and Ham,Dr. Seuss,4.31,817071.0,9780394800165,B00297Y0JO,"Childrens, Picture Books, Classics, Fiction, Poetry, Fantasy, Humor",,64,Hardcover,0.8845401174168297,0.8274999999999999,0.08757918632406424,0.6567798259352234
