,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format
0,,A Game of Thrones,George R. R. Martin,4.5,,,,Fiction,,876,paperback
1,,The Invisible Man,"Len Jenkin, Herbert George Wells",,,9780871299840,,Drama,,78,paperback
2,,Crime and Punishment,Fyodor Dostoyevsky,,,,,Fiction,,520,paperback
3,,Cards on the Table,Agatha Christie,,,9780006162810,,Fiction,,228,paperback
4,,4.50 from Paddington,Agatha Christie,,,9780006157625,,Fiction,,228,paperback
5,,The House at Riverton,Kate Morton,3.0,,9781416550532,,Fiction,,496,paperback
6,,A Murder is Announced,Agatha Christie,,,9780553350401,,Fiction,,244,paperback
7,,The Curious Incident of the Dog in the Night-time,Mark Haddon,4.5,,,,Fiction,,288,paperback
8,,The Redbreast,Jo Nesbo,,,9780061133992,,Fiction,,532,paperback
9,,The Peculiar Pumpkin Thief,Geronimo Stilton,4.5,,9780545103725,,Juvenile Fiction,,130,paperback
10,,My Name is Red,Orhan Pamuk,,,9780571200474,,Art,,417,paperback
11,,The Black Tower,P.D. James,,,9780743219617,,Fiction,,352,paperback
13,,The Shape of Water,Andrea Camilleri,4.0,,,,Fiction,,240,paperback
14,,And Then There Were None,Agatha Christie,4.0,,9780312979478,,Fiction,,294,paperback
15,,The Night Manager,John Le Carré,3.5,,9780345385765,,Fiction,,484,paperback
16,,The ABC Murders,Agatha Christie,,,9780006167242,,"Detective and mystery stories, English",,224,paperback
17,,Blessed Are Those Who Thirst,Anne Holt,,,9781451634785,,Fiction,,232,paperback
18,,Evil Under the Sun,Agatha Christie,,,,,Fiction,,282,paperback
19,,The Golden Ball and Other Stories,Agatha Christie,,,9780553350654,,Fiction,,260,paperback
20,,The Surgeon,Tess Gerritsen,,,9780786235742,,Fiction,,530,paperback
21,,The Da Vinci Code,Dan Brown,5.0,,9780593054253,,Art museum curators,,484,paperback
22,,The Mirror Crack'd from Side to Side,Agatha Christie,5.0,,,,Fiction,,264,paperback
23,,A Dangerous Fortune,Ken Follett,,,9780333580318,,Detective and mystery stories,,434,paperback
24,,The Road to Gandolfo,Robert Ludlum,,,9780553271096,,Fiction,,322,paperback
26,,Hercule Poirot's Christmas,Agatha Christie,,,9780708917244,,Fiction,,384,paperback
27,,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,,,,,Fiction,,240,paperback
28,,True Evil,Greg Iles,,,9781416524533,,Fiction,,672,paperback
29,,"Loves Music, Loves to Dance",Mary Higgins Clark,5.0,,9780671758899,,Fiction,,339,paperback
30,,The Mystery of Edwin Drood,Charles Dickens,,,,,Fiction,,328,paperback
31,,What Mrs. McGillicuddy Saw!,Agatha Christie,,,9780671556457,,Fiction,,264,paperback
32,,Paper Money,Ken Follett,4.0,,9780451159045,,Fiction,,260,paperback
33,,Tuesday,David Wiesner,3.0,,9780395870822,,Juvenile Fiction,,36,paperback
34,,Cover Her Face,P. D. James,,,,,Fiction,,276,paperback
35,,Missing Joseph,Elizabeth George,4.0,,9780553566048,,Fiction,,612,paperback
36,,The Runaway Jury,John Grisham,3.0,,9780440221470,,Fiction,,568,paperback
37,,Contest,Matthew Reilly,4.5,,9780312990046,,Fiction,,452,paperback
38,,"""A"" is for Alibi",Sue Grafton,,,9780553279917,,Fiction,,238,paperback
