,Rank,Title,Author,Avg_Rating,Num_Ratings
0,1,The Hunger Games (The Hunger Games #1),Suzanne Collins,4.34,9317387
1,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,3616457
2,3,Pride and Prejudice,Jane Austen,4.29,4517317
3,4,To Kill a Mockingbird,Harper Lee,4.26,6563540
4,5,The Book Thief,Markus Zusak,4.39,2746000
5,6,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.66,7000878
6,7,Animal Farm,George Orwell,really,4227205
7,8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,139664
8,9,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,685634
9,10,The Fault in Our Stars,John Green,4.13,5480178
10,11,The Picture of Dorian Gray,Oscar Wilde,4.13,1719525
11,12,The Giving Tree,Shel Silverstein,4.38,1190330
12,13,Wuthering Heights,Emily Brontë,3.90,1921688
13,14,Gone with the Wind,Margaret Mitchell,4.31,1247815
14,15,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,3264015
15,16,The Perks of Being a Wallflower,Stephen Chbosky,4.23,1910134
16,17,The Little Prince,Antoine de Saint-Exupéry,4.33,2302231
17,18,Jane Eyre,Charlotte Brontë,4.15,2219104
18,19,The Great Gatsby,F. Scott Fitzgerald,3.93,5601860
19,20,Crime and Punishment,Fyodor Dostoevsky,4.28,991646
20,21,"The da Vinci Code (Robert Langdon, #2)",Dan Brown,3.93,2445153
21,22,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.07,588865
22,23,"Divergent (Divergent, #1)",Veronica Roth,4.14,4215643
23,24,Memoirs of a Geisha,Arthur Golden,4.16,2062423
24,25,Les Misérables,Victor Hugo,4.21,824436
25,26,The Alchemist,Paulo Coelho,3.92,3336853
26,27,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.32,1054043
27,28,Lord of the Flies,William Golding,3.70,3064973
28,29,Romeo and Juliet,William Shakespeare,3.74,2725722
29,30,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23,1938013
30,31,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,2098692
31,32,The Help,Kathryn Stockett,4.46,2919229
32,33,Dracula,Bram Stoker,4.02,1381858
