Book Title,Authors,Rating,ISBN,ASIN,Number of Pages,Format,Genres
A Game of Thrones,George R. R. Martin,4.5,,,876,paperback,Fiction
The Invisible Man,"Len Jenkin, Herbert George Wells",,9780871299840,,78,paperback,Drama
Crime and Punishment,Fyodor Dostoyevsky,,,,520,paperback,Fiction
Cards on the Table,Agatha Christie,,9780006162810,,228,paperback,Fiction
4.50 from Paddington,Agatha Christie,,9780006157625,,228,paperback,Fiction
The House at Riverton,Kate Morton,3,9781416550532,,496,paperback,Fiction
A Murder is Announced,Agatha Christie,,9780553350401,,244,paperback,Fiction
The Curious Incident of the Dog in the Night-time,Mark Haddon,4.5,,,288,paperback,Fiction
The Redbreast,Jo Nesbo,,9780061133992,,532,paperback,Fiction
The Peculiar Pumpkin Thief,Geronimo Stilton,4.5,9780545103725,,130,paperback,Juvenile Fiction
My Name is Red,Orhan Pamuk,,9780571200474,,417,paperback,Art
The Black Tower,P.D. James,,9780743219617,,352,paperback,Fiction
QBD Murder on the Orient Express,Agatha Christie,,9780007948697,,,paperback,mystery
The Shape of Water,Andrea Camilleri,4,,,240,paperback,Fiction
And Then There Were None,Agatha Christie,4,9780312979478,,294,paperback,Fiction
The Night Manager,John Le Carré,3.5,9780345385765,,484,paperback,Fiction
The ABC Murders,Agatha Christie,,9780006167242,,224,paperback,"Detective and mystery stories, English"
Blessed Are Those Who Thirst,Anne Holt,,9781451634785,,232,paperback,Fiction
Evil Under the Sun,Agatha Christie,,,,282,paperback,Fiction
The Golden Ball and Other Stories,Agatha Christie,,9780553350654,,260,paperback,Fiction
The Surgeon,Tess Gerritsen,,9780786235742,,530,paperback,Fiction
The Da Vinci Code,Dan Brown,5,9780593054253,,484,paperback,Art museum curators
The Mirror Crack'd from Side to Side,Agatha Christie,5,,,264,paperback,Fiction
A Dangerous Fortune,Ken Follett,,9780333580318,,434,paperback,Detective and mystery stories
The Road to Gandolfo,Robert Ludlum,,9780553271096,,322,paperback,Fiction
Endless Night,Agatha Christie,,9781611733389,,0,paperback,Avarice
Hercule Poirot's Christmas,Agatha Christie,,9780708917244,,384,paperback,Fiction
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,,,,240,paperback,Fiction
True Evil,Greg Iles,,9781416524533,,672,paperback,Fiction
"Loves Music, Loves to Dance",Mary Higgins Clark,5,9780671758899,,339,paperback,Fiction
The Mystery of Edwin Drood,Charles Dickens,,,,328,paperback,Fiction
What Mrs. McGillicuddy Saw!,Agatha Christie,,9780671556457,,264,paperback,Fiction
Paper Money,Ken Follett,4,9780451159045,,260,paperback,Fiction
Tuesday,David Wiesner,3,9780395870822,,36,paperback,Juvenile Fiction
Cover Her Face,P. D. James,,,,276,paperback,Fiction
Missing Joseph,Elizabeth George,4,9780553566048,,612,paperback,Fiction
The Runaway Jury,John Grisham,3,9780440221470,,568,paperback,Fiction
Contest,Matthew Reilly,4.5,9780312990046,,452,paperback,Fiction
"""A"" is for Alibi",Sue Grafton,,9780553279917,,238,paperback,Fiction
From Doon with Death,Ruth Rendell,,9781405685306,,184,paperback,Detective and mystery stories
The Harlequin Tea Set and Other Stories,Agatha Christie,4,9780425165157,,228,paperback,Fiction
Problem at Pollensa Bay,Agatha Christie,,9780708986899,,240,paperback,Detective and mystery stories
Five on Kirrin Island Again,Enid Blyton,5,9780340548806,,153,paperback,Criminals
"Mr. Parker Pyne, Detective",Agatha Christie,,9780553350616,,214,paperback,Detective and mystery stories
The Black Opal,"Eleanor Burford Hibbert, Victoria Holt",,9780449222713,,388,paperback,Fiction
Cover Her Face,P. D. James,,,,276,paperback,Fiction
The Girl with the Dragon Tattoo,"Stieg Larsson, Reg Keeland (translator.)",3,9781849163828,,532,paperback,Computer hackers
Missing Joseph,Elizabeth George,4,9780553566048,,612,paperback,Fiction
The Messenger,Markus Zusak,5,9780330363884,,400,paperback,Fiction
The Mysterious Mr Quin,Agatha Christie,,,,264,paperback,Fiction
George's Secret Key to the Universe,"Lucy Hawking, Stephen Hawking, Christophe Galfard",,9780385611817,,360,paperback,Adventure and adventurers
Why Didn't They Ask Evans?,Agatha Christie,,9780002318846,,216,paperback,Detective and mystery stories
Cat Among the Pigeons,Agatha Christie,,9780006161745,,224,paperback,Boarding schools
The Runaway Jury,John Grisham,3,9780440221470,,568,paperback,Fiction
The Redeemer,Jo Nesbø,,9780099505969,,578,paperback,Fiction
Angels and Demons,Dan Brown,,9780593054864,,536,paperback,Anti-Catholicism
The Secret of Father Brown,Gilbert Keith Chesterton,,,,188,paperback,Fiction
Contest,Matthew Reilly,4.5,9780312990046,,452,paperback,Fiction
The Big Four,Agatha Christie,5,9780006169185,,221,paperback,Detective and mystery stories
By the Pricking of My Thumbs,Agatha Christie,,9780006165705,,224,paperback,"Beresford, Tommy (Fictitious character)"
Ten Little Indians,Agatha Christie,,9780396075158,,,paperback,Fiction
"""A"" is for Alibi",Sue Grafton,,9780553279917,,238,paperback,Fiction
The Pale Horse,"Agatha Christie, Hugh Fraser",,9780007211654,,,paperback,Detective and mystery stories
Cry Wolf,Wilbur Smith,4,9780312982584,,484,paperback,Fiction
Diamonds are Forever,Ian Fleming,,,,270,paperback,British
Skin Privilege,Karin Slaughter,,9780099553120,,578,paperback,Fiction
From Doon with Death,Ruth Rendell,,9781405685306,,184,paperback,Detective and mystery stories
