,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Format_and_Page,Genres
0,1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,9318770,9780439023481,0439023483,"374 pages, Hardcover","Genres
Young Adult
Fiction
Fantasy
Science Fiction
Audiobook
Teen
Post Apocalyptic"
1,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,3616863,Not found,0439686520,"912 pages, Paperback","Genres
Fantasy
Young Adult
Fiction
Magic
Audiobook
Childrens
Adventure"
2,3,Pride and Prejudice,Jane Austen,4.29,4517843,9781441341709,1441341706,"279 pages, Paperback","Genres
Fiction
Historical Fiction
Historical
Literature
Audiobook
Novels
Historical Romance"
3,4,To Kill a Mockingbird,Harper Lee,4.26,6564282,9780060935467,0060935464,"323 pages, Paperback","Genres
Fiction
Historical Fiction
School
Literature
Young Adult
Historical
Read For School"
4,5,The Book Thief,Markus Zusak,4.39,2746358,Not found,0375831002,"592 pages, Kindle Edition","Genres
Historical Fiction
Fiction
Young Adult
Classics
Historical
War
World War II"
5,6,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.66,7001576,9780316015844,0316015849,"498 pages, Paperback","Genres
Fantasy
Young Adult
Romance
Fiction
Vampires
Paranormal
Paranormal Romance"
6,7,Animal Farm,George Orwell,really,4227932,9780451526342,B0D7LQMF4N,"141 pages, Mass Market Paperback","Genres
Fiction
Dystopia
Fantasy
School
Literature
Science Fiction
Novels"
7,8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,139673,9780345538376,0345538374,"1728 pages, Mass Market Paperback","Genres
Fantasy
Fiction
Classics
Adventure
Science Fiction Fantasy
Epic Fantasy
High Fantasy"
8,9,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,685690,9780066238500,0066238501,"767 pages, Paperback","Genres
Fantasy
Classics
Fiction
Young Adult
Childrens
Christian
Middle Grade"
9,10,The Fault in Our Stars,John Green,4.13,5480703,Not found,0525478817,"313 pages, Hardcover","Genres
Young Adult
Fiction
Contemporary
Realistic Fiction
Coming Of Age
Teen
Novels"
10,11,The Picture of Dorian Gray,Oscar Wilde,4.13,1719898,Not found,B0CPCB8FJQ,"272 pages, Paperback","Genres
Classics
Fiction
Horror
Gothic
Fantasy
Literature
Novels"
11,12,The Giving Tree,Shel Silverstein,4.38,1190454,9780060256654,0060256656,"64 pages, Hardcover","Genres
Childrens
Classics
Fiction
Picture Books
Poetry
Young Adult
Fantasy"
12,13,Wuthering Heights,Emily Brontë,3.90,1921928,Not found,B00LMSVTO0,"464 pages, Paperback","Genres
Fiction
Gothic
Historical Fiction
Literature
Historical
19th Century
Novels"
13,14,Gone with the Wind,Margaret Mitchell,4.31,1247885,9780446365383,0446365386,"1037 pages, Mass Market Paperback","Genres
Classics
Historical Fiction
Fiction
Romance
Historical
Literature
War"
14,15,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,3264460,9780786838653,0786838655,"377 pages, Paperback","Genres
Fantasy
Young Adult
Mythology
Fiction
Middle Grade
Adventure
Greek Mythology"
15,16,The Perks of Being a Wallflower,Stephen Chbosky,4.23,1910363,Not found,B00QPHG1ZK,"213 pages, Hardcover","Genres
Young Adult
Fiction
Classics
Coming Of Age
Romance
Mental Health
Realistic Fiction"
16,17,The Little Prince,Antoine de Saint-Exupéry,4.33,2302532,9780152023980,0152023984,"96 pages, Hardcover","Genres
Classics
Fiction
Fantasy
Childrens
France
Philosophy
Young Adult"
17,18,Jane Eyre,Charlotte Brontë,4.15,2219334,9780142437209,0142437204,"532 pages, Paperback","Genres
Fiction
Gothic
Historical Fiction
Literature
Historical
School
Audiobook"
18,19,The Great Gatsby,F. Scott Fitzgerald,3.93,5602558,9780743273565,0743273567,"180 pages, Paperback","Genres
Fiction
School
Historical Fiction
Romance
Literature
Novels
Read For School"
