,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Format_and_Page,Genres
0,501,We Were Liars,E. Lockhart,3.66,1238667,9780385741279,0385741278,"242 pages, Kindle Edition","Genres
Young Adult
Mystery
Fiction
Contemporary
Romance
Thriller
Mystery Thriller"
1,502,"The Host (The Host, #1)",Stephenie Meyer,3.86,1033687,9780316068048,0316068047,"619 pages, Hardcover","Genres
Fantasy
Young Adult
Science Fiction
Romance
Fiction
Dystopia
Paranormal"
2,503,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.30,558546,9780553279375,B00P4JQBIC,"289 pages, Paperback","Genres
Nonfiction
Classics
Memoir
Biography
Autobiography
Poetry
Feminism"
3,504,Persuasion,Jane Austen,4.15,740447,9780192802637,0192802631,"249 pages, Paperback","Genres
Fiction
Classics
Historical Fiction
Audiobook
Historical
Literature
Book Club"
4,505,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,really,727189,9780609608449,0609608444,"464 pages, Hardcover","Genres
Nonfiction
History
True Crime
Book Club
Crime
Historical
Mystery"
5,506,Snow Flower and the Secret Fan,Lisa See,4.09,380424,Not found,B000FCK71U,"288 pages, Kindle Edition","Genres
Historical Fiction
Fiction
Book Club
China
Historical
Adult
Asian Literature"
6,507,Jonathan Strange & Mr Norrell,Susanna Clarke,3.87,246455,Not found,Not found,"1006 pages, Paperback","Genres
Fantasy
Fiction
Historical Fiction
Historical
Magic
Audiobook
Science Fiction Fantasy"
7,508,"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,4.05,388898,9780545424929,0545424925,"409 pages, Hardcover","Genres
Fantasy
Young Adult
Paranormal
Romance
Fiction
Audiobook
Urban Fantasy"
8,509,Sharp Objects,Gillian Flynn,4.01,1151671,9780297851530,0297851535,"254 pages, Paperback","Genres
Mystery
Thriller
Fiction
Mystery Thriller
Crime
Audiobook
Suspense"
9,510,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.86,556226,Not found,Not found,"396 pages, Paperback","Genres
Fantasy
Young Adult
Fiction
Middle Grade
Childrens
Science Fiction
Adventure"
10,511,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,3.96,460722,9780525423270,0525423273,"372 pages, Hardcover","Genres
Romance
Young Adult
Contemporary
Fiction
Chick Lit
Realistic Fiction
Contemporary Romance"
11,512,Northanger Abbey,Jane Austen,3.85,430365,9781593082642,1593082649,"260 pages, Paperback","Genres
Classics
Fiction
Gothic
Historical Fiction
Literature
Audiobook
Historical"
12,513,"Matched (Matched, #1)",Ally Condie,3.62,804906,9780525423645,0525423648,"369 pages, Hardcover","Genres
Young Adult
Dystopia
Science Fiction
Fantasy
Fiction
Teen
Audiobook"
13,514,"The Angel Experiment (Maximum Ride, #1)",James Patterson,4.07,229259,9780446617796,0446617792,"445 pages, Mass Market Paperback","Genres
Young Adult
Fantasy
Science Fiction
Fiction
Adventure
Paranormal
Action"
14,515,"Faust, First Part",Johann Wolfgang von Goethe,3.86,129401,9780553213485,0553213482,"327 pages, Paperback","Genres
Fiction
Plays
Poetry
German Literature
Literature
Classics
Drama"
15,516,"The Tales of Beedle the Bard (Hogwarts Library, #3)",J.K. Rowling,4.04,503909,9780747599876,0747599874,"105 pages, Hardcover","Genres
Fantasy
Fiction
Young Adult
Short Stories
Childrens
Magic
Middle Grade"
16,517,High Fidelity,Nick Hornby,3.90,209546,9781573225519,1573225517,"323 pages, Paperback","Genres
Fiction
Music
Contemporary
Humor
Romance
Novels
British Literature"
17,518,The Shipping News,Annie Proulx,3.88,149247,9780743225427,0743225422,"337 pages, Paperback","Genres
Fiction
Contemporary
Book Club
Canada
Literary Fiction
Literature
Classics"
18,519,Shantaram,Gregory David Roberts,4.28,229524,9781920769208,192076920X,"936 pages, Paperback","Genres
Fiction
Travel
Adventure
Historical Fiction
Contemporary
Novels
Book Club"
19,520,"The Chosen (Reuven Malther, #1)",Chaim Potok,4.07,95591,9780449213445,0449213447,"304 pages, Mass Market Paperback","Genres
Fiction
Classics
Historical Fiction
Young Adult
Jewish
Religion
School"
20,521,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,4.14,940692,9781368052405,1368052401,"386 pages, Hardcover","Genres
Mystery
Young Adult
Romance
Fiction
Fantasy
Mystery Thriller
Contemporary"
21,522,Night,Elie Wiesel,4.38,1314259,9780374500016,0374500010,"120 pages, Paperback","Genres
Nonfiction
Classics
Memoir
School
Holocaust
Biography
Historical"
22,523,Waiting for Godot,Samuel Beckett,3.84,213832,Not found,Not found,"109 pages, Paperback","Genres
Plays
Classics
Fiction
Theatre
Literature
Philosophy
School"
23,524,Nineteen Minutes,Jodi Picoult,4.17,398031,9780743496728,B001P5HDXG,"440 pages, Hardcover","Genres
Fiction
Contemporary
Book Club
Drama
Adult
Chick Lit
Young Adult"
24,525,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.09,491502,9780061125270,006112527X,"248 pages, Hardcover","Genres
Fantasy
Fiction
Young Adult
Childrens
Adventure
Christian
Middle Grade"
25,526,Houdini Heart,Ki Longfellow,3.84,5484,9780975925515,0975925512,"254 pages, Paperback","Genres
Horror
Fantasy
Mystery
Fiction
Magical Realism
Gothic
Literature"
26,527,The Haunting of Hill House,Shirley Jackson,3.82,352371,9780143039983,0143039989,"182 pages, Paperback","Genres
Horror
Fiction
Gothic
Mystery
Paranormal
Classics
Audiobook"
27,528,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.47,2319691,9781408857908,1408857901,"705 pages, Paperback","Genres
Fantasy
Romance
Romantasy
Young Adult
Fiction
New Adult
Fae"
28,529,To the Lighthouse,Virginia Woolf,3.80,201712,Not found,Not found,"209 pages, Paperback","Genres
Classics
Fiction
Literature
Novels
Literary Fiction
Feminism
20th Century"
29,530,Pet Sematary,Stephen King,4.08,653268,Not found,B0DT27GRLV,"580 pages, Kindle Edition","Genres
Horror
Fiction
Thriller
Fantasy
Audiobook
Paranormal
Adult"
30,531,"Neuromancer (Sprawl, #1)",William Gibson,3.89,347728,9781101146460,B000O76ON6,"288 pages, Kindle Edition","Genres
Science Fiction
Fiction
Cyberpunk
Classics
Dystopia
Science Fiction Fantasy
Fantasy"
