,Unnamed: 0,Good_Reads_Popularity_Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format,Genre_List,Rank_Score,Rating_Score,NumRatings_Score,Quality_Score
0,0,1.0,The Hunger Games,Suzanne Collins,4.34,9318770.0,9780439023481,0439023483,"Young Adult, Fiction, Fantasy, Science Fiction, Audiobook, Teen, Post Apocalyptic","The Hunger Games, #1",374,Hardcover,"['Young Adult', 'Fiction', 'Fantasy', 'Science Fiction', 'Audiobook', 'Teen', 'Post Apocalyptic']",1.0,0.835,1.0,0.9505000000000001
3,3,4.0,To Kill a Mockingbird,Harper Lee,4.26,6564282.0,9780060935467,0060935464,"Fiction, Historical Fiction, School, Literature, Young Adult, Historical, Read For School",,323,Paperback,"['Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Read For School']",0.9941291585127201,0.815,0.7043823614290977,0.8534663718338173
4,4,6.0,Twilight,Stephenie Meyer,3.66,7001576.0,9780316015844,0316015849,"Fantasy, Young Adult, Romance, Fiction, Vampires, Paranormal, Paranormal Romance","The Twilight Saga, #1",498,Paperback,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Vampires', 'Paranormal', 'Paranormal Romance']",0.990215264187867,0.665,0.751313703893187,0.8209802168431029
2,2,3.0,Pride and Prejudice,Jane Austen,4.29,4517843.0,9781441341709,1441341706,"Fiction, Historical Fiction, Historical, Literature, Audiobook, Novels, Historical Romance",,279,Paperback,"['Fiction', 'Historical Fiction', 'Historical', 'Literature', 'Audiobook', 'Novels', 'Historical Romance']",0.9960861056751468,0.8225,0.48475408036219947,0.7906106663787186
13,13,19.0,The Great Gatsby,F. Scott Fitzgerald,3.93,5602558.0,9780743273565,0743273567,"Fiction, School, Historical Fiction, Romance, Literature, Novels, Read For School",,180,Paperback,"['Fiction', 'School', 'Historical Fiction', 'Romance', 'Literature', 'Novels', 'Read For School']",0.9647749510763209,0.7325,0.6011680516056525,0.7860103959122241
1,1,2.0,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.5,3616863.0,Not found,0439686520,"Fantasy, Young Adult, Fiction, Magic, Audiobook, Childrens, Adventure","Harry Potter, #5",912,Paperback,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Audiobook', 'Childrens', 'Adventure']",0.9980430528375734,0.875,0.38805894863550056,0.7781349057256796
41,41,57.0,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.58,4563162.0,9780439655484,043965548X,"Fantasy, Fiction, Young Adult, Magic, Childrens, Audiobook, Middle Grade","Harry Potter, #3",435,Mass Market Paperback,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade']",0.8904109589041096,0.895,0.48961781393533343,0.771549727742244
14,14,23.0,Divergent,Veronica Roth,4.14,4216029.0,9780062024039,0062024035,"Young Adult, Dystopia, Fantasy, Fiction, Science Fiction, Romance, Teen","Divergent, #1",487,Paperback,"['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Teen']",0.9569471624266145,0.7849999999999999,0.4523627459408339,0.7539876887528959
10,10,15.0,The Lightning Thief,Rick Riordan,4.31,3264460.0,9780786838653,0786838655,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology","Percy Jackson and the Olympians, #1",377,Paperback,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']",0.9726027397260274,0.8274999999999999,0.35023829278755286,0.7423625837266769
22,22,32.0,The Help,Kathryn Stockett,4.46,2919452.0,9780399155345,B009CUIY52,"Fiction, Historical Fiction, Historical, Adult Fiction, Contemporary, Audiobook, Book Club",,464,Hardcover,"['Fiction', 'Historical Fiction', 'Historical', 'Adult Fiction', 'Contemporary', 'Audiobook', 'Book Club']",0.9393346379647749,0.865,0.3132112844113792,0.7291972405093238
38,38,54.0,The Kite Runner,Khaled Hosseini,4.35,3336334.0,9781594631931,159463193X,"Fiction, Historical Fiction, Contemporary, Novels, Historical, School, Literature",,371,Paperback,"['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Historical', 'School', 'Literature']",0.8962818003913895,0.8374999999999999,0.3579519666734602,0.7171483101585939
11,11,17.0,The Little Prince,Antoine de Saint-Exupéry,4.33,2302532.0,9780152023980,0152023984,"Classics, Fiction, Fantasy, Childrens, France, Philosophy, Young Adult",,96,Hardcover,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult']",0.9686888454011742,0.8325,0.2470020892407482,0.7113261649326941
17,17,26.0,The Alchemist,Paulo Coelho,3.92,3337364.0,9780061122415,B00A2KBUGQ,"Fiction, Fantasy, Philosophy, Self Help, Novels, Spirituality, Audiobook",,197,Paperback,"['Fiction', 'Fantasy', 'Philosophy', 'Self Help', 'Novels', 'Spirituality', 'Audiobook']",0.9510763209393347,0.73,0.3580625085119899,0.7068492809293309
34,34,48.0,A Game of Thrones,George R.R. Martin,4.45,2631401.0,9780553588484,0553588486,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Science Fiction Fantasy, Adventure","A Song of Ice and Fire, #1",835,Mass Market Paperback,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Adventure']",0.9080234833659491,0.8625,0.28229702506155196,0.7066485008648452
28,28,39.0,The Catcher in the Rye,J.D. Salinger,3.8,3734101.0,9780316769174,0316769177,"Classics, Fiction, Young Adult, Literature, School, Coming Of Age, Novels",,277,Paperback,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Coming Of Age', 'Novels']",0.9256360078277887,0.7,0.4006411855923417,0.7004467588088179
12,12,18.0,Jane Eyre,Charlotte Brontë,4.15,2219334.0,9780142437209,0142437204,"Fiction, Gothic, Historical Fiction, Literature, Historical, School, Audiobook",,532,Paperback,"['Fiction', 'Gothic', 'Historical Fiction', 'Literature', 'Historical', 'School', 'Audiobook']",0.9667318982387476,0.7875000000000001,0.23807309906405405,0.6943646890147153
54,54,72.0,The Girl With the Dragon Tattoo,Stieg Larsson,4.17,3332725.0,9780670069019,0670069019,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary",Millennium #1,480,Hardcover,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']",0.8610567514677103,0.7925,0.35756464094991286,0.689442092872058
15,15,24.0,Memoirs of a Geisha,Arthur Golden,4.16,2062520.0,9781400096893,1400096898,"Fiction, Historical Fiction, Romance, Historical, Novels, Asia, Adult Fiction",,503,Mass Market Paperback,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Novels', 'Asia', 'Adult Fiction']",0.9549902152641878,0.79,0.22124347977551204,0.6853691300383288
8,8,12.0,The Giving Tree,Shel Silverstein,4.38,1190454.0,9780060256654,0060256656,"Childrens, Classics, Fiction, Picture Books, Poetry, Young Adult, Fantasy",,64,Hardcover,"['Childrens', 'Classics', 'Fiction', 'Picture Books', 'Poetry', 'Young Adult', 'Fantasy']",0.9784735812133072,0.845,0.12765146136847147,0.6831848708958643
